"source_id","title","scope","source_type","official_page_url","collection_url","source_format","publisher","language","license_id","license_url","license_review_status","collection_method","collection_decision","official_verified","priority","product_models","use_cases","tasks","categories","notes"
"rpi-doc-hardware-introduction","Raspberry Pi computer hardware introduction","corpus","documentation","https://www.raspberrypi.com/documentation/computers/raspberry-pi.html","https://raw.githubusercontent.com/raspberrypi/documentation/master/documentation/asciidoc/computers/raspberry-pi/introduction.adoc","asciidoc","Raspberry Pi Ltd","en","CC-BY-SA-4.0","https://www.raspberrypi.com/licensing/","approved","git_raw","include","true","1","","education_coding;desktop_computing;home_server;camera_monitoring;smart_farm_monitoring;headless_remote_management;gpio_iot","desktop_programming;system_configuration","hardware;product_comparison","보드별 CPU, 메모리, GPIO, 네트워크, 포트의 공식 비교 근거다."
"rpi-doc-getting-started-install","Getting started - install an operating system","corpus","documentation","https://www.raspberrypi.com/documentation/computers/getting-started.html","https://raw.githubusercontent.com/raspberrypi/documentation/master/documentation/asciidoc/computers/getting-started/install.adoc","asciidoc","Raspberry Pi Ltd","en","CC-BY-SA-4.0","https://www.raspberrypi.com/licensing/","approved","git_raw","include","true","1","","education_coding;desktop_computing;home_server;camera_monitoring;smart_farm_monitoring;headless_remote_management;gpio_iot","os_installation","getting_started;os_installation","Raspberry Pi Imager와 OS 설치 절차의 공식 근거다."
"rpi-doc-os-introduction","Raspberry Pi OS introduction","corpus","documentation","https://www.raspberrypi.com/documentation/computers/os.html","https://raw.githubusercontent.com/raspberrypi/documentation/master/documentation/asciidoc/computers/os/rpi-os-introduction.adoc","asciidoc","Raspberry Pi Ltd","en","CC-BY-SA-4.0","https://www.raspberrypi.com/licensing/","approved","git_raw","include","true","1","","education_coding;desktop_computing;home_server;camera_monitoring;smart_farm_monitoring;headless_remote_management;gpio_iot","os_installation;system_configuration","operating_system","Raspberry Pi OS 소개 원문이다."
"rpi-doc-networking","Configure networking","corpus","documentation","https://www.raspberrypi.com/documentation/computers/configuration.html#networking","https://raw.githubusercontent.com/raspberrypi/documentation/master/documentation/asciidoc/computers/configuration/configuring-networking.adoc","asciidoc","Raspberry Pi Ltd","en","CC-BY-SA-4.0","https://www.raspberrypi.com/licensing/","approved","git_raw","include","true","1","","home_server;camera_monitoring;smart_farm_monitoring;headless_remote_management","system_configuration;remote_access;server_operation","networking;wifi","Wi-Fi와 유선 네트워크 설정 공식 근거다."
"rpi-doc-remote-access-ssh","Remote access with SSH","corpus","documentation","https://www.raspberrypi.com/documentation/computers/remote-access.html#ssh","https://raw.githubusercontent.com/raspberrypi/documentation/master/documentation/asciidoc/computers/remote-access/ssh.adoc","asciidoc","Raspberry Pi Ltd","en","CC-BY-SA-4.0","https://www.raspberrypi.com/licensing/","approved","git_raw","include","true","1","","home_server;camera_monitoring;smart_farm_monitoring;headless_remote_management","remote_access;server_operation;troubleshooting","remote_access;ssh","SSH 설정 공식 근거다."
"rpi-doc-camera-install","Install a Raspberry Pi camera","corpus","documentation","https://www.raspberrypi.com/documentation/accessories/camera.html","https://raw.githubusercontent.com/raspberrypi/documentation/master/documentation/asciidoc/accessories/camera/install.adoc","asciidoc","Raspberry Pi Ltd","en","CC-BY-SA-4.0","https://www.raspberrypi.com/licensing/","approved","git_raw","include","true","1","Raspberry Pi 5;Raspberry Pi 4 Model B;Raspberry Pi Zero 2 W","camera_monitoring;smart_farm_monitoring","camera_setup;troubleshooting","camera;hardware_setup","카메라 커넥터와 케이블 설치의 공식 근거다."
"rpi-doc-camera-rpicam-apps","rpicam-apps introduction","corpus","documentation","https://www.raspberrypi.com/documentation/computers/camera_software.html#rpicam-apps","https://raw.githubusercontent.com/raspberrypi/documentation/master/documentation/asciidoc/computers/camera/rpicam_apps_intro.adoc","asciidoc","Raspberry Pi Ltd","en","CC-BY-SA-4.0","https://www.raspberrypi.com/licensing/","approved","git_raw","include","true","1","","camera_monitoring;smart_farm_monitoring","camera_setup;troubleshooting","camera;camera_software","rpicam-apps 사용 공식 근거다."
"rpi-doc-gpio-header","GPIO and the 40-pin header","corpus","documentation","https://www.raspberrypi.com/documentation/computers/raspberry-pi.html#gpio-and-the-40-pin-header","https://raw.githubusercontent.com/raspberrypi/documentation/master/documentation/asciidoc/computers/raspberry-pi/gpio-on-raspberry-pi.adoc","asciidoc","Raspberry Pi Ltd","en","CC-BY-SA-4.0","https://www.raspberrypi.com/licensing/","approved","git_raw","include","true","1","","smart_farm_monitoring;gpio_iot","gpio_setup;sensor_monitoring;troubleshooting","gpio;hardware_safety","GPIO와 전기 안전 공식 근거다."
"rpi-doc-led-warning-codes","LED warning flash codes","corpus","documentation","https://www.raspberrypi.com/documentation/computers/configuration.html","https://raw.githubusercontent.com/raspberrypi/documentation/master/documentation/asciidoc/computers/configuration/led_blink_warnings.adoc","asciidoc","Raspberry Pi Ltd","en","CC-BY-SA-4.0","https://www.raspberrypi.com/licensing/","approved","git_raw","include","true","1","","education_coding;desktop_computing;home_server;camera_monitoring;smart_farm_monitoring;headless_remote_management;gpio_iot","troubleshooting","troubleshooting;led_warning","LED 경고 코드 공식 근거다."
"rpi-doc-power-supplies","Raspberry Pi power supply requirements","corpus","documentation","https://www.raspberrypi.com/documentation/computers/raspberry-pi.html","https://raw.githubusercontent.com/raspberrypi/documentation/master/documentation/asciidoc/computers/raspberry-pi/power-supplies.adoc","asciidoc","Raspberry Pi Ltd","en","CC-BY-SA-4.0","https://www.raspberrypi.com/licensing/","approved","git_raw","include","true","1","Raspberry Pi 5;Raspberry Pi 4 Model B;Raspberry Pi 500;Raspberry Pi 400;Raspberry Pi Zero 2 W","education_coding;desktop_computing;home_server;camera_monitoring;smart_farm_monitoring;headless_remote_management;gpio_iot","system_configuration","power;accessories","모델별 권장 전원 공급 장치의 공식 근거다."
